date,time,location,wp,gps,lat,lon,cw1,cw2,ht,bd1,bd2,buds,flowers,pods,seeds,resprout,rhizobia,disturbed,bipinnate,notes
13/02/2014,NA,Tokai,7,C,-34.05945,18.4151,1.12,0.95,2.14,0.022,0.016,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,8,C,-34.05918333,18.4148,0.78,0.72,1.68,0.014,0.015,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,9,C,-34.05918333,18.41481667,0.68,0.63,1.79,0.018,0.009,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,10,C,-34.05961667,18.41505,0.71,0.39,0.95,0.006,0.008,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,11,C,-34.0596,18.41503333,0.53,0.32,1.09,0.006,0.009,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,12,C,-34.0596,18.41503333,0.68,0.24,1.14,0.008,0.007,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,13,C,-34.0596,18.415,0.16,0.13,0.55,0.004,0.004,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,14,C,-34.0596,18.41501667,1.02,0.89,1.44,0.009,0.008,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,15,C,-34.05958333,18.41505,0.86,0.61,1.59,0.007,0.007,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,16,C,-34.05955,18.41501667,0.88,0.49,0.79,0.006,0.005,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,17,C,-34.05955,18.41498333,0.12,0.12,0.43,0.003,0.003,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,18,C,-34.05955,18.41498333,0.23,0.16,0.46,0.006,0.005,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,19,C,-34.05955,18.41498333,0.08,0.1,0.15,0.002,0.001,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,20,C,-34.05955,18.415,0.13,0.2,0.38,0.004,0.003,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,21,C,-34.05953333,18.415,0.38,0.32,0.75,0.006,0.006,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,22,C,-34.05953333,18.41498333,0.25,0.23,0.77,0.005,0.006,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,23,C,-34.05953333,18.41498333,0.14,0.13,0.64,0.004,0.005,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,24,C,-34.05953333,18.41498333,0.53,0.42,1.16,0.007,0.006,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,25,C,-34.05955,18.415,0.43,0.31,1.04,0.006,0.005,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,26,C,-34.05955,18.415,0.83,0.71,1.12,0.011,0.012,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,27,C,-34.05955,18.41501667,0.64,0.31,0.73,0.006,0.005,N,N,N,N,N,Y,NA,NA,Pulled
